Search for,Entry,Information,31/07/2025
anti Catholics,anti-Catholics,"Use anti with a hyphen when it means opposed to, against or unlike the conventional form, and where the second part of the compound begins with an i: 

 anti-aircraft, anti-Aids, anti-Christ, anti-communist, anti-government, anti-hero, anti-inflammatory, anti-nuclear, anti-racism, anti-static, anti-tank 

 There is no hyphen when anti means preventing, relieving or the opposite of: 

 antibacterial, anticlimax, anticoagulant, antidepressant, antioxidant, antipruritic ,  antiretroviral, antitrust, antisocial 

 A compound noun which would not normally take a hyphen needs one if it is preceded by anti: 

 anti-money-laundering measures, anti-race-hate law, anti-bird-flu measures",
anticommunist,anti-communist,"Use anti with a hyphen when it means opposed to, against or unlike the conventional form, and where the second part of the compound begins with an i: 

 anti-aircraft, anti-Aids, anti-Christ, anti-communist, anti-government, anti-hero, anti-inflammatory, anti-nuclear, anti-racism, anti-static, anti-tank 

 There is no hyphen when anti means preventing, relieving or the opposite of: 

 antibacterial, anticlimax, anticoagulant, antidepressant, antioxidant, antipruritic ,  antiretroviral, antitrust, antisocial 

 A compound noun which would not normally take a hyphen needs one if it is preceded by anti: 

 anti-money-laundering measures, anti-race-hate law, anti-bird-flu measures",
anticommunists,anti-communists,"Use anti with a hyphen when it means opposed to, against or unlike the conventional form, and where the second part of the compound begins with an i: 

 anti-aircraft, anti-Aids, anti-Christ, anti-communist, anti-government, anti-hero, anti-inflammatory, anti-nuclear, anti-racism, anti-static, anti-tank 

 There is no hyphen when anti means preventing, relieving or the opposite of: 

 antibacterial, anticlimax, anticoagulant, antidepressant, antioxidant, antipruritic ,  antiretroviral, antitrust, antisocial 

 A compound noun which would not normally take a hyphen needs one if it is preceded by anti: 

 anti-money-laundering measures, anti-race-hate law, anti-bird-flu measures",
anti-gay rights group,anti-gay-rights group,"Use anti with a hyphen when it means opposed to, against or unlike the conventional form, and where the second part of the compound begins with an i: 

 anti-aircraft, anti-Aids, anti-Christ, anti-communist, anti-government, anti-hero, anti-inflammatory, anti-nuclear, anti-racism, anti-static, anti-tank 

 There is no hyphen when anti means preventing, relieving or the opposite of: 

 antibacterial, anticlimax, anticoagulant, antidepressant, antioxidant, antipruritic ,  antiretroviral, antitrust, antisocial 

 A compound noun which would not normally take a hyphen needs one if it is preceded by anti: 

 anti-money-laundering measures, anti-race-hate law, anti-bird-flu measures",
anti-global,anti-globalisation,"anti-globalisation (not anti-globalization ) 

Don't use anti-global as shorthand for anti-globalisation",
antigovernment,anti-government,"Use anti with a hyphen when it means opposed to, against or unlike the conventional form, and where the second part of the compound begins with an i: 

 anti-aircraft, anti-Aids, anti-Christ, anti-communist, anti-government, anti-hero, anti-inflammatory, anti-nuclear, anti-racism, anti-static, anti-tank 

 There is no hyphen when anti means preventing, relieving or the opposite of: 

 antibacterial, anticlimax, anticoagulant, antidepressant, antioxidant, antipruritic ,  antiretroviral, antitrust, antisocial 

 A compound noun which would not normally take a hyphen needs one if it is preceded by anti: 

 anti-money-laundering measures, anti-race-hate law, anti-bird-flu measures",
antigovernments,anti-governments,"Use anti with a hyphen when it means opposed to, against or unlike the conventional form, and where the second part of the compound begins with an i: 

 anti-aircraft, anti-Aids, anti-Christ, anti-communist, anti-government, anti-hero, anti-inflammatory, anti-nuclear, anti-racism, anti-static, anti-tank 

 There is no hyphen when anti means preventing, relieving or the opposite of: 

 antibacterial, anticlimax, anticoagulant, antidepressant, antioxidant, antipruritic ,  antiretroviral, antitrust, antisocial 

 A compound noun which would not normally take a hyphen needs one if it is preceded by anti: 

 anti-money-laundering measures, anti-race-hate law, anti-bird-flu measures",
antihero,anti-hero,"Use anti with a hyphen when it means opposed to, against or unlike the conventional form, and where the second part of the compound begins with an i: 

 anti-aircraft, anti-Aids, anti-Christ, anti-communist, anti-government, anti-hero, anti-inflammatory, anti-nuclear, anti-racism, anti-static, anti-tank 

 There is no hyphen when anti means preventing, relieving or the opposite of: 

 antibacterial, anticlimax, anticoagulant, antidepressant, antioxidant, antipruritic ,  antiretroviral, antitrust, antisocial 

 A compound noun which would not normally take a hyphen needs one if it is preceded by anti: 

 anti-money-laundering measures, anti-race-hate law, anti-bird-flu measures",
antiheroes,anti-heroes,"Use anti with a hyphen when it means opposed to, against or unlike the conventional form, and where the second part of the compound begins with an i: 

 anti-aircraft, anti-Aids, anti-Christ, anti-communist, anti-government, anti-hero, anti-inflammatory, anti-nuclear, anti-racism, anti-static, anti-tank 

 There is no hyphen when anti means preventing, relieving or the opposite of: 

 antibacterial, anticlimax, anticoagulant, antidepressant, antioxidant, antipruritic ,  antiretroviral, antitrust, antisocial 

 A compound noun which would not normally take a hyphen needs one if it is preceded by anti: 

 anti-money-laundering measures, anti-race-hate law, anti-bird-flu measures",
anti inflammatories,anti-inflammatories,"Use anti with a hyphen when it means opposed to, against or unlike the conventional form, and where the second part of the compound begins with an i: 

 anti-aircraft, anti-Aids, anti-Christ, anti-communist, anti-government, anti-hero, anti-inflammatory, anti-nuclear, anti-racism, anti-static, anti-tank 

 There is no hyphen when anti means preventing, relieving or the opposite of: 

 antibacterial, anticlimax, anticoagulant, antidepressant, antioxidant, antipruritic ,  antiretroviral, antitrust, antisocial 

 A compound noun which would not normally take a hyphen needs one if it is preceded by anti: 

 anti-money-laundering measures, anti-race-hate law, anti-bird-flu measures",
anti inflammatory,anti-inflammatory,"Use anti with a hyphen when it means opposed to, against or unlike the conventional form, and where the second part of the compound begins with an i: 

 anti-aircraft, anti-Aids, anti-Christ, anti-communist, anti-government, anti-hero, anti-inflammatory, anti-nuclear, anti-racism, anti-static, anti-tank 

 There is no hyphen when anti means preventing, relieving or the opposite of: 

 antibacterial, anticlimax, anticoagulant, antidepressant, antioxidant, antipruritic ,  antiretroviral, antitrust, antisocial 

 A compound noun which would not normally take a hyphen needs one if it is preceded by anti: 

 anti-money-laundering measures, anti-race-hate law, anti-bird-flu measures",
antilock,anti-lock,"Use anti with a hyphen when it means opposed to, against or unlike the conventional form, and where the second part of the compound begins with an i: 

 anti-aircraft, anti-Aids, anti-Christ, anti-communist, anti-government, anti-hero, anti-inflammatory, anti-nuclear, anti-racism, anti-static, anti-tank 

 There is no hyphen when anti means preventing, relieving or the opposite of: 

 antibacterial, anticlimax, anticoagulant, antidepressant, antioxidant, antipruritic ,  antiretroviral, antitrust, antisocial 

 A compound noun which would not normally take a hyphen needs one if it is preceded by anti: 

 anti-money-laundering measures, anti-race-hate law, anti-bird-flu measures",
antilocks,anti-locks,"Use anti with a hyphen when it means opposed to, against or unlike the conventional form, and where the second part of the compound begins with an i: 

 anti-aircraft, anti-Aids, anti-Christ, anti-communist, anti-government, anti-hero, anti-inflammatory, anti-nuclear, anti-racism, anti-static, anti-tank 

 There is no hyphen when anti means preventing, relieving or the opposite of: 

 antibacterial, anticlimax, anticoagulant, antidepressant, antioxidant, antipruritic ,  antiretroviral, antitrust, antisocial 

 A compound noun which would not normally take a hyphen needs one if it is preceded by anti: 

 anti-money-laundering measures, anti-race-hate law, anti-bird-flu measures",
anti-money laundering,anti-money-laundering,"Use anti with a hyphen when it means opposed to, against or unlike the conventional form, and where the second part of the compound begins with an i: 

 anti-aircraft, anti-Aids, anti-Christ, anti-communist, anti-government, anti-hero, anti-inflammatory, anti-nuclear, anti-racism, anti-static, anti-tank 

 There is no hyphen when anti means preventing, relieving or the opposite of: 

 antibacterial, anticlimax, anticoagulant, antidepressant, antioxidant, antipruritic ,  antiretroviral, antitrust, antisocial 

 A compound noun which would not normally take a hyphen needs one if it is preceded by anti: 

 anti-money-laundering measures, anti-race-hate law, anti-bird-flu measures",
anti-money laundering operation,anti-money-laundering operation,"Use anti with a hyphen when it means opposed to, against or unlike the conventional form, and where the second part of the compound begins with an i: 

 anti-aircraft, anti-Aids, anti-Christ, anti-communist, anti-government, anti-hero, anti-inflammatory, anti-nuclear, anti-racism, anti-static, anti-tank 

 There is no hyphen when anti means preventing, relieving or the opposite of: 

 antibacterial, anticlimax, anticoagulant, antidepressant, antioxidant, antipruritic ,  antiretroviral, antitrust, antisocial 

 A compound noun which would not normally take a hyphen needs one if it is preceded by anti: 

 anti-money-laundering measures, anti-race-hate law, anti-bird-flu measures",
antinuclear,anti-nuclear,"Use anti with a hyphen when it means opposed to, against or unlike the conventional form, and where the second part of the compound begins with an i: 

 anti-aircraft, anti-Aids, anti-Christ, anti-communist, anti-government, anti-hero, anti-inflammatory, anti-nuclear, anti-racism, anti-static, anti-tank 

 There is no hyphen when anti means preventing, relieving or the opposite of: 

 antibacterial, anticlimax, anticoagulant, antidepressant, antioxidant, antipruritic ,  antiretroviral, antitrust, antisocial 

 A compound noun which would not normally take a hyphen needs one if it is preceded by anti: 

 anti-money-laundering measures, anti-race-hate law, anti-bird-flu measures",
antiracism,anti-racism,"Use anti with a hyphen when it means opposed to, against or unlike the conventional form, and where the second part of the compound begins with an i: 

 anti-aircraft, anti-Aids, anti-Christ, anti-communist, anti-government, anti-hero, anti-inflammatory, anti-nuclear, anti-racism, anti-static, anti-tank 

 There is no hyphen when anti means preventing, relieving or the opposite of: 

 antibacterial, anticlimax, anticoagulant, antidepressant, antioxidant, antipruritic ,  antiretroviral, antitrust, antisocial 

 A compound noun which would not normally take a hyphen needs one if it is preceded by anti: 

 anti-money-laundering measures, anti-race-hate law, anti-bird-flu measures",
antismoking,anti-smoking,Use a hyphen for thia one for clarity. see anti- entry for more,
antistatic,anti-static,"Use anti with a hyphen when it means opposed to, against or unlike the conventional form, and where the second part of the compound begins with an i: 

 anti-aircraft, anti-Aids, anti-Christ, anti-communist, anti-government, anti-hero, anti-inflammatory, anti-nuclear, anti-racism, anti-static, anti-tank 

 There is no hyphen when anti means preventing, relieving or the opposite of: 

 antibacterial, anticlimax, anticoagulant, antidepressant, antioxidant, antipruritic ,  antiretroviral, antitrust, antisocial 

 A compound noun which would not normally take a hyphen needs one if it is preceded by anti: 

 anti-money-laundering measures, anti-race-hate law, anti-bird-flu measures",
antitank,anti-tank,"Use anti with a hyphen when it means opposed to, against or unlike the conventional form, and where the second part of the compound begins with an i: 

 anti-aircraft, anti-Aids, anti-Christ, anti-communist, anti-government, anti-hero, anti-inflammatory, anti-nuclear, anti-racism, anti-static, anti-tank 

 There is no hyphen when anti means preventing, relieving or the opposite of: 

 antibacterial, anticlimax, anticoagulant, antidepressant, antioxidant, antipruritic ,  antiretroviral, antitrust, antisocial 

 A compound noun which would not normally take a hyphen needs one if it is preceded by anti: 

 anti-money-laundering measures, anti-race-hate law, anti-bird-flu measures",
antiterrorism,anti-terrorism,"Use anti with a hyphen when it means opposed to, against or unlike the conventional form, and where the second part of the compound begins with an i: 

 anti-aircraft, anti-Aids, anti-Christ, anti-communist, anti-government, anti-hero, anti-inflammatory, anti-nuclear, anti-racism, anti-static, anti-tank, anti-terrorism 

 There is no hyphen when anti means preventing, relieving or the opposite of: 

 antibacterial, anticlimax, anticoagulant, antidepressant, antioxidant, antipruritic ,  antiretroviral, antitrust, antisocial 

 A compound noun which would not normally take a hyphen needs one if it is preceded by anti: 

 anti-money-laundering measures, anti-race-hate law, anti-bird-flu measures",
antiterrorist,anti-terrorist,"Use anti with a hyphen when it means opposed to, against or unlike the conventional form, and where the second part of the compound begins with an i: 

 anti-aircraft, anti-Aids, anti-Christ, anti-communist, anti-government, anti-hero, anti-inflammatory, anti-nuclear, anti-racism, anti-static, anti-tank, anti-terrorism 

 There is no hyphen when anti means preventing, relieving or the opposite of: 

 antibacterial, anticlimax, anticoagulant, antidepressant, antioxidant, antipruritic ,  antiretroviral, antitrust, antisocial 

 A compound noun which would not normally take a hyphen needs one if it is preceded by anti: 

 anti-money-laundering measures, anti-race-hate law, anti-bird-flu measures",
antiwar,anti-war,"Use anti with a hyphen when it means opposed to, against or unlike the conventional form, and where the second part of the compound begins with an i: 

 anti-aircraft, anti-Aids, anti-Christ, anti-communist, anti-government, anti-hero, anti-inflammatory, anti-nuclear, anti-racism, anti-static, anti-tank 

 There is no hyphen when anti means preventing, relieving or the opposite of: 

 antibacterial, anticlimax, anticoagulant, antidepressant, antioxidant, antipruritic ,  antiretroviral, antitrust, antisocial 

 A compound noun which would not normally take a hyphen needs one if it is preceded by anti: 

 anti-money-laundering measures, anti-race-hate law, anti-bird-flu measures",
antiwhaling,anti-whaling,,
anti-climax,anticlimax,"Use anti with a hyphen when it means opposed to, against or unlike the conventional form, and where the second part of the compound begins with an i: 

 anti-aircraft, anti-Aids, anti-Christ, anti-communist, anti-government, anti-hero, anti-inflammatory, anti-nuclear, anti-racism, anti-static, anti-tank 

 There is no hyphen when anti means preventing, relieving or the opposite of: 

 antibacterial, anticlimax, anticoagulant, antidepressant, antioxidant, antipruritic ,  antiretroviral, antitrust, antisocial 

 A compound noun which would not normally take a hyphen needs one if it is preceded by anti: 

 anti-money-laundering measures, anti-race-hate law, anti-bird-flu measures",
counterclockwise,anticlockwise,Use British English terms instead of American English.,
anti-coagulant,anticoagulant,"Use anti with a hyphen when it means opposed to, against or unlike the conventional form, and where the second part of the compound begins with an i: 

 anti-aircraft, anti-Aids, anti-Christ, anti-communist, anti-government, anti-hero, anti-inflammatory, anti-nuclear, anti-racism, anti-static, anti-tank 

 There is no hyphen when anti means preventing, relieving or the opposite of: 

 antibacterial, anticlimax, anticoagulant, antidepressant, antioxidant, antipruritic ,  antiretroviral, antitrust, antisocial 

 A compound noun which would not normally take a hyphen needs one if it is preceded by anti: 

 anti-money-laundering measures, anti-race-hate law, anti-bird-flu measures",
anti-depressant,antidepressant,"Use anti with a hyphen when it means opposed to, against or unlike the conventional form, and where the second part of the compound begins with an i: 

 anti-aircraft, anti-Aids, anti-Christ, anti-communist, anti-government, anti-hero, anti-inflammatory, anti-nuclear, anti-racism, anti-static, anti-tank 

 There is no hyphen when anti means preventing, relieving or the opposite of: 

 antibacterial, anticlimax, anticoagulant, antidepressant, antioxidant, antipruritic ,  antiretroviral, antitrust, antisocial 

 A compound noun which would not normally take a hyphen needs one if it is preceded by anti: 

 anti-money-laundering measures, anti-race-hate law, anti-bird-flu measures",
